ПК ЛИРА-САПР  2013.+S__21_12_15-2.LIR.+S__21_12_15-2 27.12.2015;
Таблица узлов;


№ узла;Координаты;
X$(м);Y$(м);Z$(м);
824;12.630;0.070;-11.700;
837;12.210;0.865;-11.700;
851;13.055;-0.725;-11.700;
865;12.135;-0.700;-11.700;
878;11.715;0.090;-11.700;
891;49.870;0.070;-11.700;
905;50.290;0.865;-11.700;
918;49.445;-0.725;-11.700;
931;50.365;-0.700;-11.700;
945;50.785;0.090;-11.700;
958;63.075;23.695;-9.700;
971;62.135;23.630;-9.700;
985;62.600;24.510;-9.700;
999;56.595;29.750;-8.800;
1012;56.595;28.810;-8.800;
1026;55.745;29.340;-8.800;
1040;50.265;33.095;-8.800;
1053;50.395;32.160;-8.800;
1067;49.480;32.565;-8.800;
1080;43.940;35.370;-8.800;
1094;44.185;34.460;-8.800;
1107;43.230;34.755;-8.800;
1121;37.590;36.645;-8.800;
1134;36.985;35.920;-8.800;
1148;37.975;35.780;-8.800;
1161;56.825;11.695;-11.100;
1174;55.885;11.630;-11.100;
1188;56.350;12.510;-11.100;
1202;-0.575;23.695;-9.700;
1216;0.365;23.630;-9.700;
1229;-0.100;24.510;-9.700;
1243;5.675;11.695;-11.100;
1257;6.615;11.630;-11.100;
1270;6.150;12.510;-11.100;
1283;5.905;29.750;-8.800;
1297;5.905;28.810;-8.800;
1310;6.755;29.340;-8.800;
1323;12.235;33.095;-8.800;
1337;12.105;32.160;-8.800;
1350;13.020;32.565;-8.800;
1364;18.560;35.370;-8.800;
1377;18.315;34.460;-8.800;
1391;19.270;34.755;-8.800;
1404;24.910;36.645;-8.800;
1418;25.515;35.920;-8.800;
1431;24.525;35.780;-8.800;

